Date,Open,High,Low,Close,Adj Close,Volume
2023-12-29,17066.519531,17095.119141,16950.900391,17047.390625,17047.390625,1570053000
2024-01-02,17135.119141,17135.119141,16725.279297,16788.550781,16788.550781,1720670000
2024-01-03,16624.919922,16657.509766,16564.800781,16646.410156,16646.410156,1577461700
2024-01-04,16673.400391,16673.400391,16516.330078,16645.980469,16645.980469,1789349300
2024-01-05,16573.119141,16745.730469,16455.570313,16535.330078,16535.330078,1936599800
2024-01-08,16581.859375,16592.060547,16144.559570,16224.450195,16224.450195,2227172000
2024-01-09,16256.099609,16414.789063,16190.019531,16190.019531,16190.019531,1937380500
2024-01-10,16143.969727,16247.299805,16036.419922,16097.280273,16097.280273,1788113700
2024-01-11,16154.169922,16459.919922,16106.830078,16302.040039,16302.040039,1970866100
2024-01-12,16216.969727,16393.740234,16185.910156,16244.580078,16244.580078,1534599800
2024-01-15,16258.280273,16334.709961,16104.500000,16216.330078,16216.330078,1368415400
2024-01-16,16030.250000,16197.040039,15834.410156,15865.919922,15865.919922,2139164100
2024-01-17,15764.379883,15764.379883,15194.940430,15276.900391,15276.900391,3952310100
2024-01-18,15301.190430,15463.690430,15183.959961,15391.790039,15391.790039,2815987000
2024-01-19,15404.690430,15540.750000,15207.990234,15308.690430,15308.690430,2242257300
2024-01-22,15349.049805,15362.910156,14794.160156,14961.179688,14961.179688,2812384600
2024-01-23,15038.330078,15516.799805,14994.370117,15353.980469,15353.980469,2804009700
2024-01-24,15602.450195,15975.110352,15412.099609,15899.870117,15899.870117,3597683500
2024-01-25,15989.940430,16254.929688,15828.929688,16211.959961,16211.959961,4096404800
2024-01-26,16158.719727,16240.959961,15888.040039,15952.230469,15952.230469,3314021500
2024-01-29,16046.250000,16258.450195,16012.589844,16077.240234,16077.240234,2923198800
2024-01-30,15896.660156,15896.660156,15654.969727,15703.450195,15703.450195,2565524400
2024-01-31,15652.049805,15744.040039,15411.660156,15485.070313,15485.070313,2594937800
2024-02-01,15522.860352,15805.059570,15434.820313,15566.209961,15566.209961,2454568100
2024-02-02,15756.120117,15912.610352,15435.849609,15533.559570,15533.559570,2475955200
2024-02-05,15336.860352,15669.769531,15336.860352,15510.009766,15510.009766,2313277300
